Date,Time,Plate,Path_to_image
26-08-24,13:47:57,59G2-88948,out/images/59G2-88948_26-08-2024_13-47-57.jpg
26-08-24,13:48:13,52K1-8386,out/images/52K1-8386_26-08-2024_13-48-13.jpg
26-08-24,13:48:14,52P5-1555,out/images/52P5-1555_26-08-2024_13-48-14.jpg
26-08-24,13:48:27,Unidentify,out/images/Unidentify_26-08-2024_13-48-27.jpg
26-08-24,13:48:48,Unidentify,out/images/Unidentify_26-08-2024_13-48-48.jpg
26-08-24,13:49:40,59P1-77343,out/images/59P1-77343_26-08-2024_13-49-40.jpg
26-08-24,13:49:48,Unidentify,out/images/Unidentify_26-08-2024_13-49-48.jpg
26-08-24,13:49:57,Unidentify,out/images/Unidentify_26-08-2024_13-49-57.jpg
26-08-24,13:49:58,Unidentify,out/images/Unidentify_26-08-2024_13-49-58.jpg
26-08-24,13:50:01,Unidentify,out/images/Unidentify_26-08-2024_13-50-01.jpg
26-08-24,13:50:15,Unidentify,out/images/Unidentify_26-08-2024_13-50-15.jpg
26-08-24,13:50:26,Unidentify,out/images/Unidentify_26-08-2024_13-50-26.jpg
26-08-24,13:50:30,57X1-5800,out/images/57X1-5800_26-08-2024_13-50-30.jpg
26-08-24,13:51:18,59S1-41323,out/images/59S1-41323_26-08-2024_13-51-18.jpg
